pl_name,hostname,discoverymethod,is_transit,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_snum,sy_pnum
iot Dra b,iot Dra,Radial Velocity,0,510.8544,1.453,12.4,3756.73177074,10.8,0.701,,,4504.0,11.79,1.54,0.03,2.48,31.32832,1,2
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,Microlensing,0,,2.5,7.71,46.0,0.552,,,,4570.0,,0.58,,,7200.0,1,1
K2-365 b,K2-365,Transit,1,23.448172,,2.906,8.78,1.97,,,,5561.0,1.051,0.823,-0.021,4.313,187.222,1,1
K2-379 b,K2-379,Transit,1,8.777247,,2.181,5.4,2.86,,,,4603.0,0.751,0.856,-0.045,4.615,182.207,1,1
EPIC 206317286 c,EPIC 206317286,Transit,1,17.515472,,2.094,5.03,3.01,,,,4752.0,0.758,0.832,0.019,4.596,314.35,1,2
AB Aur b,AB Aur,Imaging,0,,93.9,12.5,2860.455663,8.05,0.4,,,9770.0,2.95887,2.4,,3.77411,162.127,1,1
K2-384 c,K2-384,Transit,1,4.194766,,1.191,1.82,5.92,,,,3623.0,0.348,0.33,0.068,4.874,82.6603,1,5
K2-372 b,K2-372,Transit,1,9.844077,,2.945,8.98,1.93,,,,5479.0,0.922,0.847,-0.064,4.437,463.88,1,1
GJ 9066 c,GJ 9066,Radial Velocity,0,771.36,0.88,9.6,66.74396547,0.415,0.46,,,3154.0,0.164,0.15,-0.13,5.01,4.471,1,1
HD 39091 b,HD 39091,Radial Velocity,0,2088.8,3.28,12.3,4481.3805387,13.2,0.642,,,5998.0,1.17,1.07,0.09,4.43,18.2702,1,3
TOI-1518 b,TOI-1518,Transit,1,1.90261131,0.03712,21.05046575,581.62598481,0.343,0.01,2546.0,7010.0,7299.0,1.942,1.88,-0.1,4.136,225.888,1,1
pi Men d,HD 39091,Radial Velocity,0,124.64,0.506,3.72,13.38,1.43,0.22,,,5998.0,1.19,1.07,0.09,4.36,18.2702,1,3
K2-384 e,K2-384,Transit,1,9.715043,,1.345,2.37,5.35,,,,3623.0,0.348,0.33,0.068,4.874,82.6603,1,5
K2-378 b,K2-378,Transit,1,2.060438,,2.88,8.65,1.99,,,,4823.0,0.732,0.923,-0.206,4.674,687.973,1,1
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,0,406.0,0.92,13.4,603.877,1.38,0.33,,,29564.0,0.203,0.48,-0.092,5.508,396.332,2,3
Kepler-451 d,2MASS J19383260+4603591,Eclipse Timing Variations,0,43.0,,13.5,559.37799632,1.25,0.0,,,29564.0,0.203,0.48,-0.092,5.508,396.332,2,3
OGLE-2014-BLG-0676L b,OGLE-2014-BLG-0676L,Microlensing,0,,4.53,13.0,1169.60853776,2.93,,,,,,0.73,,,2670.0,1,1
